observation_id,timestamp_utc,site_code,temperature_c,relative_humidity_pct,soil_moisture_pct,crop_stage,crop_type,observation_source,consent_status,synchronization_status,approximate_region,notes
636f6efc-5d0b-5fbb-9b49-aeb820409a9e,2026-04-01T00:00:00Z,DEMO-001,21.2,90.1,46.0,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
4934b056-3a2e-5774-a1ff-cfa071114ed9,2026-04-01T06:00:00Z,DEMO-001,28.7,70.3,44.4,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
6555e2de-f22d-5d31-b7cd-7a813ec2b544,2026-04-01T12:00:00Z,DEMO-001,34.2,55.7,46.1,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
cce61431-f1a8-59a3-8602-27b75c618f2a,2026-04-01T18:00:00Z,DEMO-001,28.1,73.6,46.8,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
5791f257-db1d-52ad-947d-ef4296603ab4,2026-04-02T00:00:00Z,DEMO-001,22.5,88.4,46.1,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d9f61a30-67b1-5f08-b712-d7f9d820ff06,2026-04-02T06:00:00Z,DEMO-001,28.2,73.9,44.2,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
50d68ff5-bb72-5144-a02c-cb18c3ad836a,2026-04-02T12:00:00Z,DEMO-001,33.9,55.1,47.0,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
953b0448-7fd4-526c-b550-83dec2fe94c8,2026-04-02T18:00:00Z,DEMO-001,28.4,70.5,44.5,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
a516bcff-5387-5896-ba7e-cb5e094fe3c4,2026-04-03T00:00:00Z,DEMO-001,23.0,91.8,47.3,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
086fd690-1eb3-5721-a435-25f34c4ccac6,2026-04-03T06:00:00Z,DEMO-001,29.0,69.5,45.6,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
b6320335-f840-5058-b53e-d69d62e09b57,2026-04-03T12:00:00Z,DEMO-001,33.7,52.8,45.7,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
cafcb312-004e-5c0f-8c75-dbd5a178f8b6,2026-04-03T18:00:00Z,DEMO-001,27.9,73.2,47.0,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
0c14c2b6-6fc4-59cd-958e-595c2f76b832,2026-04-04T00:00:00Z,DEMO-001,22.2,91.3,43.5,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
